id_match,formations,score,goals,goals_past,total_shots,shots_on_target,shots_off_target,blocked_shots,total_possession,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dribbles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,clearances,interceptions,corners,win,draw,lose
201,3-4-2-1,1-Feb,2,1,27,7,15,5,59.3,479,416,87,21,8,4,10,50,23,58,24,16,12,55,22,11,8,9,1,0,0
201,4-2-3-1,1-Feb,1,2,15,3,9,3,40.7,341,282,83,10,16,10,4,63,17,43,16,24,15,79,19,27,9,3,0,0,1
202,4-2-3-1,1-Jan,1,1,15,5,5,5,58.1,528,429,81,10,12,5,10,42,16,42,16,22,14,58,24,9,13,2,0,1,0
202,4/3/2003,1-Jan,1,1,13,3,6,4,41.9,372,277,74,9,11,10,5,91,22,58,22,16,18,78,23,14,19,4,0,1,0
203,3/4/2003,0 - 0,0,0,7,1,4,2,49.4,390,288,74,5,18,11,9,61,19,41,14,32,5,36,14,15,11,4,0,1,0
203,4-2-3-1,0 - 0,0,0,10,4,5,1,50.6,390,280,72,9,10,9,11,90,27,59,32,14,17,61,28,9,11,6,0,1,0
204,4-2-3-1,Jan-00,1,0,18,5,6,7,58.6,497,439,88,15,14,7,9,50,12,50,16,8,12,57,21,9,16,8,1,0,0
204,3-4-1-2,Jan-00,0,1,11,5,4,2,41.4,358,308,86,8,14,9,7,64,12,50,8,16,14,67,21,21,9,4,0,0,1
205,4-2-3-1,0 - 1,0,1,9,1,6,2,61.8,534,456,85,5,30,14,10,47,12,39,11,20,11,52,21,10,16,2,0,0,1
205,4-2-3-1,0 - 1,1,0,11,5,5,1,38.2,330,244,74,8,13,10,14,77,19,61,20,11,27,66,41,22,12,4,1,0,0
206,4/4/2002,1-Jan,1,1,11,5,4,2,51.5,481,412,86,6,11,6,10,55,19,68,16,12,11,52,21,14,13,4,0,1,0
206,4/5/2001,1-Jan,1,1,8,2,3,3,48.5,444,365,82,7,15,10,6,67,9,32,12,16,16,73,22,10,10,5,0,1,0
207,4-2-3-1,Mar-00,0,3,7,1,5,1,40.2,367,302,82,3,23,10,9,43,4,33,8,4,12,57,21,16,9,4,0,0,1
207,4-2-3-1,Mar-00,3,0,22,9,9,4,59.8,560,492,88,15,15,9,10,60,8,67,4,8,21,68,31,6,6,6,1,0,0
208,4/3/2003,1-Feb,2,1,13,5,8,0,51.8,443,354,80,9,15,11,12,73,18,53,18,16,19,61,31,29,9,8,1,0,0
208,4/4/2002,1-Feb,1,2,11,4,5,2,48.2,410,318,78,6,17,12,11,71,16,47,16,18,12,52,23,25,15,6,0,0,1
209,4/3/2003,1-Jan,1,1,15,8,6,1,64.9,656,567,86,13,25,16,13,64,18,55,18,15,16,55,29,7,13,5,0,1,0
209,4-2-3-1,1-Jan,1,1,16,7,5,4,35.1,350,275,79,12,20,13,16,65,15,45,15,18,17,52,33,15,13,2,0,1,0
210,4/4/2002,0 - 2,0,2,15,3,7,5,53.2,461,393,85,13,18,9,9,50,11,50,12,10,14,61,23,15,17,8,0,0,1
210,4-2-3-1,0 - 2,2,0,13,7,6,0,46.8,419,349,83,11,11,9,9,82,11,50,10,12,12,57,21,21,18,1,1,0,0
211,4-2-3-1,2-Feb,2,2,7,3,2,2,58.3,476,409,86,5,15,4,8,27,17,46,16,21,10,56,18,9,9,1,0,1,0
211,4/3/2003,2-Feb,2,2,12,5,5,2,41.7,334,274,82,10,14,8,4,57,20,54,21,16,12,75,16,15,9,5,0,1,0
212,4/3/2003,1-Feb,2,1,8,3,1,4,49.1,423,357,84,7,25,15,10,60,7,29,13,11,17,63,27,20,4,5,1,0,0
212,4-2-3-1,1-Feb,1,2,16,5,9,2,50.9,430,354,82,12,20,10,15,50,17,71,11,13,18,55,33,16,12,9,0,0,1
213,4/3/2003,1-Feb,2,1,16,6,4,6,43.6,404,330,82,12,20,14,10,70,9,56,11,5,17,63,27,14,7,4,1,0,0
213,4-2-3-1,1-Feb,1,2,7,4,2,1,56.4,521,451,87,7,17,10,14,59,7,44,5,11,17,55,31,19,13,2,0,0,1
214,4-2-3-1,0 - 0,0,0,16,3,9,4,56.6,395,298,75,11,16,7,10,44,17,46,15,22,14,58,24,8,12,8,0,1,0
214,4/4/2002,0 - 0,0,0,6,2,2,2,43.4,312,226,72,5,16,10,7,63,20,54,22,15,25,78,32,25,14,4,0,1,0
215,3-4-2-1,Mar-00,3,0,6,4,0,2,37.8,325,253,78,5,19,9,4,47,14,56,17,8,15,79,19,28,5,2,1,0,0
215,3-4-1-2,Mar-00,0,3,19,3,9,7,62.2,534,464,87,15,14,4,9,29,11,44,8,17,18,67,27,9,5,5,0,0,1
216,3-4-2-1,2-Apr,4,2,16,5,7,4,54,514,440,86,14,13,10,7,77,12,52,12,11,14,67,21,11,10,3,1,0,0
216,4-2-3-1,2-Apr,2,4,15,7,5,3,46,437,359,82,12,12,7,10,58,11,48,11,12,16,62,26,10,12,7,0,0,1
217,4-2-3-1,0 - 1,0,1,18,5,8,5,57,452,372,82,14,18,12,9,67,12,36,15,18,12,57,21,11,16,3,0,0,1
217,3-4-1-2,0 - 1,1,0,15,7,4,4,43,363,276,76,8,11,9,12,82,21,64,18,15,16,57,28,34,14,3,1,0,0
218,4-2-3-1,Jan-00,1,0,24,8,11,5,58.4,485,386,80,17,18,14,9,78,15,56,9,18,10,53,19,11,6,8,1,0,0
218,4-1-4-1,Jan-00,0,1,9,1,5,3,41.6,339,258,76,9,12,9,14,75,12,44,18,9,7,33,21,23,9,5,0,0,1
219,4/4/2002,Feb-00,0,2,15,2,10,3,42.2,347,256,74,12,21,11,9,52,19,45,23,19,12,57,21,17,15,7,0,0,1
219,4-2-3-1,Feb-00,2,0,12,7,1,4,57.8,503,406,81,10,15,9,11,60,23,55,19,23,20,65,31,26,11,8,1,0,0
220,4-2-3-1,1-Jan,1,1,15,2,8,5,42.8,369,282,76,11,22,15,10,68,12,52,9,14,25,71,35,19,8,6,0,1,0
220,4/3/2003,1-Jan,1,1,9,5,3,1,57.2,505,425,84,7,19,10,15,53,11,48,14,9,17,53,32,13,10,6,0,1,0
221,3-4-1-2,0 - 0,0,0,7,0,3,4,49.5,495,409,83,5,14,10,10,71,12,48,12,13,14,58,24,22,10,3,0,1,0
221,3/5/2002,0 - 0,0,0,11,4,4,3,50.5,501,416,83,10,13,10,10,77,13,52,13,12,11,52,21,6,11,5,0,1,0
222,4/4/2002,Mar-00,3,0,11,4,6,1,72,777,702,90,7,21,16,8,76,10,59,8,9,26,76,34,12,7,2,1,0,0
222,3-4-2-1,Mar-00,0,3,9,2,3,4,28,295,230,78,7,15,8,16,53,7,41,9,8,15,48,31,16,12,3,0,0,1
